country_iso3,week_start,event_type,sub_event_type,event_count,fatalities_best,source_url,notes
MMR,2026-02-16,Political violence (manual aggregate),ACLED monthly-diff backfill,61,56,https://acleddata.com/aggregated-data-files/,"ACLED manual KPI backfill for 2026-02-16 week. Events = Feb 2026 country-month total as of 2026-02-20 minus regional weekly aggregate coverage through 2026-02-14. Fatalities estimated from observed Feb 2026 fatalities/events ratio for Myanmar."
RUS,2026-02-16,Political violence (manual aggregate),ACLED monthly-diff backfill,125,2,https://acleddata.com/aggregated-data-files/,"ACLED manual KPI backfill for 2026-02-16 week. Events = Feb 2026 country-month total as of 2026-02-20 minus regional weekly aggregate coverage through 2026-02-14. Fatalities estimated from observed Feb 2026 fatalities/events ratio for Russia."
TKM,2026-02-16,Political violence (manual aggregate),ACLED monthly-diff backfill,1,0,https://acleddata.com/aggregated-data-files/,"ACLED manual KPI backfill for 2026-02-16 week. Events = Feb 2026 country-month total as of 2026-02-20 minus regional weekly aggregate coverage through 2026-02-14. Fatalities estimated from observed Feb 2026 fatalities/events ratio for Turkmenistan."
UKR,2026-02-16,Political violence (manual aggregate),ACLED monthly-diff backfill,1401,925,https://acleddata.com/aggregated-data-files/,"ACLED manual KPI backfill for 2026-02-16 week. Events = Feb 2026 country-month total as of 2026-02-20 minus regional weekly aggregate coverage through 2026-02-14. Fatalities estimated from observed Feb 2026 fatalities/events ratio for Ukraine."
